,time,Room,Day,Class,Enrollment,Instructor,Str_Start,Str_End
139,1/1/1900 21:30,2160,Wednesday,,0,,21:30,22:00
140,1/1/1900 8:00,2320,Friday,,0,,8:00,8:30
141,1/1/1900 8:30,2320,Friday,N/A,0,N/A,N/A,N/A
142,1/1/1900 9:00,2320,Friday,N/A,0,N/A,N/A,N/A
143,1/1/1900 9:30,2320,Friday,N/A,0,N/A,N/A,N/A
144,1/1/1900 10:00,2320,Friday,NSSA( 221)-Systems Administration I,30,Garret Arcoraci,10:00,11:50
145,1/1/1900 10:30,2320,Friday,NSSA( 221)-Systems Administration I,30,Garret Arcoraci,10:00,11:50
146,1/1/1900 11:00,2320,Friday,NSSA( 221)-Systems Administration I,30,Garret Arcoraci,10:00,11:50
147,1/1/1900 11:30,2320,Friday,NSSA( 221)-Systems Administration I,30,Garret Arcoraci,10:00,11:50
148,1/1/1900 12:00,2320,Friday,NSSA( 221)-Systems Administration I,18,Jonathan Weissman,12:00,13:50
149,1/1/1900 12:30,2320,Friday,NSSA( 221)-Systems Administration I,18,Jonathan Weissman,12:00,13:50
150,1/1/1900 13:00,2320,Friday,NSSA( 221)-Systems Administration I,18,Jonathan Weissman,12:00,13:50
151,1/1/1900 13:30,2320,Friday,NSSA( 221)-Systems Administration I,18,Jonathan Weissman,12:00,13:50
152,1/1/1900 14:00,2320,Friday,NSSA( 221)-Systems Administration I,7,John Simonson,14:00,15:50
153,1/1/1900 14:30,2320,Friday,NSSA( 221)-Systems Administration I,7,John Simonson,14:00,15:50
154,1/1/1900 15:00,2320,Friday,NSSA( 221)-Systems Administration I,7,John Simonson,14:00,15:50
155,1/1/1900 15:30,2320,Friday,NSSA( 221)-Systems Administration I,7,John Simonson,14:00,15:50
156,1/1/1900 16:00,2320,Friday,N/A,0,N/A,N/A,N/A
157,1/1/1900 16:30,2320,Friday,N/A,0,N/A,N/A,N/A
158,1/1/1900 17:00,2320,Friday,N/A,0,N/A,N/A,N/A
159,1/1/1900 17:30,2320,Friday,N/A,0,N/A,N/A,N/A
160,1/1/1900 18:00,2320,Friday,N/A,0,N/A,N/A,N/A
161,1/1/1900 18:30,2320,Friday,N/A,0,N/A,N/A,N/A
162,1/1/1900 19:00,2320,Friday,N/A,0,N/A,N/A,N/A
163,1/1/1900 19:30,2320,Friday,N/A,0,N/A,N/A,N/A
164,1/1/1900 20:00,2320,Friday,N/A,0,N/A,N/A,N/A
165,1/1/1900 20:30,2320,Friday,N/A,0,N/A,N/A,N/A
166,1/1/1900 21:00,2320,Friday,N/A,0,N/A,N/A,N/A
167,1/1/1900 21:30,2320,Friday,,0,,21:30,22:00
168,1/1/1900 8:00,2320,Monday,NSSA( 102)-Computer Systems Concepts,17,Lawrence Hill,8:00,9:50
169,1/1/1900 8:30,2320,Monday,NSSA( 102)-Computer Systems Concepts,17,Lawrence Hill,8:00,9:50
170,1/1/1900 9:00,2320,Monday,NSSA( 102)-Computer Systems Concepts,17,Lawrence Hill,8:00,9:50
